pos,pos+1,pos+2,pos-1,pos-2,word+1,word+2,word-1,word-2,words,tags
TO,VB,JJ,JJ,IN,vpa,reddyvmc-1,17-04-19,on,to,NA
VB,JJ,NNP,TO,JJ,reddyvmc-1,@,to,17-04-19,vpa,NA
JJ,NNP,NN,VB,TO,@,okaxis,vpa,to,reddyvmc-1,NA
NNP,NN,(,JJ,VB,okaxis,(,reddyvmc-1,vpa,@,NA
NN,(,JJ,NNP,JJ,(,upi,@,reddyvmc-1,okaxis,NA
(,JJ,NN,NN,NNP,upi,ref,okaxis,@,(,NA
JJ,NN,DT,(,NN,ref,no,(,okaxis,upi,NA
NN,DT,CD,JJ,(,no,910718025682,upi,(,ref,NA
DT,CD,),NN,JJ,910718025682,),ref,upi,no,NA
CD,),NN,DT,NN,),.not,no,ref,910718025682,NA
),NN,PRP,CD,DT,.not,you,910718025682,no,),NA
NN,PRP,.,),CD,you,?,),910718025682,.not,NA
PRP,.,VB,NN,),?,call,.not,),you,NA
.,VB,IN,PRP,NN,call,on,you,.not,?,NA
VB,IN,CD,.,PRP,on,18002586161,?,you,call,NA
IN,CD,TO,VB,.,18002586161,to,call,?,on,NA
CD,TO,VB,IN,VB,to,report,on,call,18002586161,NA
TO,VB,,CD,IN,report,,18002586161,on,to,NA
VB,,,TO,CD,,,to,18002586161,report,NA
